#rank, id, view_count
1, 121, 1519
2, 119, 843
3, 120, 698
4, 118, 663
5, 59, 577
6, 75, 480
7, 1, 458
8, 11, 457
9, 109, 422
10, 64, 379
11, 58, 369
12, 113, 358
13, 57, 353
14, 61, 325
15, 56, 320
16, 63, 276
17, 108, 275
18, 62, 250
19, 23, 235
20, 72, 230
21, 112, 229
22, 67, 207
23, 60, 198
24, 76, 194
25, 10, 193
26, 68, 191
27, 2, 190
28, 111, 182
29, 73, 180
30, 77, 174
31, 74, 172
32, 7, 171
33, 65, 169
34, 107, 160
35, 69, 159
36, 100, 159
37, 55, 158
38, 89, 158
39, 66, 155
40, 3, 154
41, 9, 153
42, 22, 153
43, 126, 153
44, 16, 151
45, 6, 147
46, 79, 146
47, 87, 145
48, 110, 144
49, 8, 143
50, 129, 143
51, 49, 142
52, 82, 142
53, 5, 141
54, 4, 139
55, 106, 139
56, 14, 138
57, 102, 138
58, 71, 135
59, 21, 134
60, 50, 132
61, 103, 131
62, 18, 130
63, 52, 129
64, 70, 129
65, 105, 129
66, 124, 129
67, 54, 127
68, 51, 124
69, 78, 123
70, 88, 122
71, 19, 121
72, 46, 121
73, 104, 121
74, 13, 120
75, 15, 118
76, 17, 116
77, 20, 116
78, 101, 114
79, 80, 113
80, 90, 110
81, 53, 109
82, 99, 109
83, 12, 108
84, 48, 107
85, 81, 107
86, 95, 107
87, 94, 106
88, 24, 105
89, 45, 105
90, 47, 104
91, 83, 102
92, 85, 102
93, 97, 101
94, 38, 100
95, 84, 100
96, 43, 99
97, 86, 99
98, 33, 98
99, 42, 98
100, 98, 96
101, 31, 95
102, 32, 95
103, 34, 95
104, 28, 93
105, 39, 93
106, 91, 93
107, 26, 91
108, 36, 91
109, 44, 90
110, 35, 89
111, 25, 88
112, 37, 87
113, 41, 87
114, 92, 86
115, 96, 85
116, 27, 84
117, 29, 84
118, 30, 84
119, 40, 84
120, 122, 84
121, 93, 81
122, 128, 62
123, 127, 53
124, 137, 46
125, 139, 27
126, 134, 23
127, 141, 22
128, 130, 21
129, 136, 20
130, 140, 20
131, 147, 20
132, 138, 19
133, 135, 18
134, 133, 17
135, 144, 13
136, 146, 12
137, 145, 10
138, 131, 8
139, 132, 7
