1, 121, 311
2, 1, 138
3, 120, 106
4, 118, 101
5, 119, 90
6, 2, 89
7, 11, 85
8, 75, 78
9, 113, 73
10, 3, 68
11, 59, 65
12, 4, 62
13, 23, 56
14, 57, 56
15, 5, 55
16, 6, 53
17, 7, 53
18, 109, 52
19, 117, 52
20, 63, 48
21, 112, 48
22, 58, 47
23, 108, 46
24, 115, 45
25, 8, 43
26, 9, 43
27, 56, 43
28, 62, 43
29, 116, 43
30, 114, 42
31, 74, 41
32, 95, 40
33, 10, 39
34, 76, 39
35, 64, 38
36, 67, 38
37, 89, 38
38, 12, 37
39, 61, 37
40, 66, 36
41, 111, 36
42, 13, 35
43, 68, 35
44, 87, 35
45, 14, 34
46, 55, 34
47, 60, 34
48, 69, 34
49, 73, 34
50, 107, 34
51, 16, 33
52, 19, 33
53, 22, 33
54, 24, 33
55, 88, 33
56, 92, 33
57, 99, 33
58, 100, 33
59, 104, 33
60, 15, 32
61, 18, 32
62, 25, 32
63, 37, 32
64, 49, 32
65, 53, 32
66, 65, 32
67, 70, 32
68, 72, 32
69, 79, 32
70, 90, 32
71, 98, 32
72, 101, 32
73, 103, 32
74, 106, 32
75, 17, 31
76, 20, 31
77, 21, 31
78, 26, 31
79, 27, 31
80, 28, 31
81, 29, 31
82, 30, 31
83, 31, 31
84, 32, 31
85, 33, 31
86, 34, 31
87, 35, 31
88, 36, 31
89, 38, 31
90, 39, 31
91, 40, 31
92, 41, 31
93, 42, 31
94, 43, 31
95, 44, 31
96, 45, 31
97, 46, 31
98, 47, 31
99, 48, 31
100, 50, 31
101, 51, 31
102, 52, 31
103, 54, 31
104, 71, 31
105, 77, 31
106, 78, 31
107, 80, 31
108, 81, 31
109, 82, 31
110, 83, 31
111, 84, 31
112, 85, 31
113, 86, 31
114, 91, 31
115, 93, 31
116, 94, 31
117, 96, 31
118, 97, 31
119, 102, 31
120, 105, 31
121, 110, 31
